 ;hut::HUT                                                 ,    hkcode , winput::Vk              , windows::VIRTUAL_KEY                   , vkcode ,make1code , enigo::Key                              , #[cfg(enigo::Key)] , xkeysym::Keysym                   ,  keysym_code , macos::KeyCode                          , cgcode ,
 KeyboardKeypad::KeyboardLeftAlt*                          ,   0x700E2 , Vk::Alt*                , VK_MENU*                               ,  0x12  ,     0x38 , Enigo::Option                           ,                    , Keysym::Alt_L*                    ,       0xFFE9 , KeyCode::OPTION                         ,  0x3A  ,
 KeyboardKeypad::KeyboardLeftAposandDouble                 ,   0x70034 , Vk::Oem7                , VK_OEM_7                               ,  0xDE  ,     0x28 , Enigo::OEM7                             , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardLeftArrow                         ,   0x70050 , Vk::LeftArrow           , VK_LEFT                                ,  0x25  ,     0x4B , Enigo::LeftArrow                        ,                    , Keysym::Left                      ,       0xFF51 , KeyCode::LEFT_ARROW                     ,  0x7B  ,
 KeyboardKeypad::KeyboardLeftBrace                         ,   0x7002F , Vk::Oem4                , VK_OEM_4                               ,  0xDB  ,     0x1A , Enigo::OEM4                             , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardLeftControl*                      ,   0x700E0 , Vk::Control             , VK_CONTROL                             ,  0x11  ,     0x1D , Enigo::Control                          ,                    , Keysym::Control_L                 ,       0xFFE3 , KeyCode::CONTROL                        ,  0x3B  ,
 KeyboardKeypad::KeyboardLeftControl                       ,   0x700E0 , Vk::LeftControl         , VK_LCONTROL                            ,  0xA2  ,     0x1D , Enigo::LControl                         ,                    , Keysym::Control_L                 ,       0xFFE3 , KeyCode::CONTROL                        ,  0x3B  ,
 KeyboardKeypad::KeyboardLeftGUI                           ,   0x700E3 , Vk::LeftWin             , VK_LWIN                                ,  0x5B  ,   0xE05B , Enigo::LWin                             , #[windows]         , Keysym::Super_L*                  ,       0xFFEB , KeyCode::COMMAND*                       ,  0x37  ,
 KeyboardKeypad::KeyboardLeftGUI*                          ,   0x700E3 , Vk::LeftWin*            , VK_LWIN*                               ,  0x5B  ,   0xE05B , Enigo::Command                          ,                    , Keysym::Super_L*                  ,       0xFFEB , KeyCode::COMMAND*                       ,  0x37  ,
 KeyboardKeypad::KeyboardLeftGUI*                          ,   0x700E3 , Vk::LeftWin*            , VK_LWIN*                               ,  0x5B  ,   0xE05B , Enigo::Meta                             ,                    , Keysym::Super_L                   ,       0xFFEB , KeyCode::COMMAND                        ,  0x37  ,
 KeyboardKeypad::KeyboardLeftGUI*                          ,   0x700E3 , Vk::LeftWin*            , VK_LWIN*                               ,  0x5B  ,   0xE05B , Enigo::Super                            ,                    , Keysym::Super_L*                  ,       0xFFEB , KeyCode::COMMAND*                       ,  0x37  ,
 KeyboardKeypad::KeyboardLeftGUI*                          ,   0x700E3 , Vk::LeftWin*            , VK_LWIN*                               ,  0x5B  ,   0xE05B , Enigo::Windows                          ,                    , Keysym::Super_L*                  ,       0xFFEB , KeyCode::COMMAND*                       ,  0x37  ,
 KeyboardKeypad::KeyboardLeftShift                         ,   0x700E1 , Vk::LeftShift           , VK_LSHIFT                              ,  0xA0  ,     0x2A , Enigo::LShift                           ,                    , Keysym::Shift_L                   ,       0xFFE1 , KeyCode::SHIFT*                         ,  0x38  ,
